ID;DATE;HOUR;NUMITER;SWARMSIZE;W;C1;C2;CPR;BESTROUTE;TIME
55;610;2051;10;30;0.9;0.5;0.5;0.2;429.48;157.99
60;610;2106;10;30;0.9;0.5;0.5;0.2;429.48;160.29
23;510;1540;10;30;0.9;0.8;0.8;0.2;430.69;159.28
13;510;1313;10;30;0.9;0.8;0.8;0.2;430.86;211.19
145;710;845;10;30;0.5;0.8;0.8;1;431.11;87.975
1;510;1243;10;30;0.9;0.8;0.8;0.2;431.37;220.38
18;510;1458;10;30;0.9;0.8;0.8;0.2;431.4;289.05
76;610;2146;10;30;0.5;0.5;0.5;0.2;431.4;91.046
79;610;2150;10;30;0.5;0.5;0.5;0.2;431.92;90.293
141;710;837;10;30;0.9;0.2;0.2;1;432.28;154.96
119;610;2328;10;30;0.5;0.2;0.2;0.2;432.58;90.715
128;710;758;10;30;0.9;0.5;0.5;1;432.62;154.33
31;510;1601;10;30;0.9;0.8;0.8;0.2;433.19;157.58
137;710;826;10;30;0.9;0.2;0.2;1;433.36;160.01
70;610;2135;10;30;0.9;0.2;0.2;0.2;433.59;157.96
127;710;756;10;30;0.9;0.5;0.5;1;433.59;154.94
163;710;930;10;30;0.5;0.2;0.2;1;433.71;87.566
63;610;2115;10;30;0.9;0.2;0.2;0.2;433.73;159.93
54;610;2048;10;30;0.9;0.5;0.5;0.2;433.75;176.23
48;610;2027;10;30;0.5;0.8;0.8;0.2;433.94;91.704
17;510;1448;10;30;0.9;0.8;0.8;0.2;433.96;319.27
115;610;2321;10;30;0.5;0.2;0.2;0.2;434.01;90.594
7;510;1327;10;30;0.9;0.8;0.8;0.2;434.1;210.88
39;510;1646;10;30;0.9;0.8;0.8;1;434.25;159.88
134;710;817;10;30;0.9;0.2;0.2;1;434.25;182.6
6;510;1324;10;30;0.9;0.8;0.8;0.2;434.45;211.15
58;610;2100;10;30;0.9;0.5;0.5;0.2;434.45;160.74
153;710;913;10;30;0.5;0.5;0.5;1;434.46;103.81
3;510;1301;10;30;0.9;0.8;0.8;0.2;434.53;237.76
155;710;916;10;30;0.5;0.5;0.5;1;434.56;89.603
61;610;2108;10;30;0.9;0.5;0.5;0.2;434.72;159.74
165;710;933;10;30;0.5;0.2;0.2;1;434.81;91.877
147;710;848;10;30;0.5;0.8;0.8;1;435.27;92.043
135;710;820;10;30;0.9;0.2;0.2;1;435.35;174.81
168;710;938;10;30;0.5;0.2;0.2;1;435.35;87.491
170;710;941;10;30;0.5;0.2;0.2;1;435.35;86.966
59;610;2103;10;30;0.9;0.5;0.5;0.2;435.36;161.09
148;710;850;10;30;0.5;0.8;0.8;1;435.39;89.616
12;510;1345;10;30;0.9;0.8;0.8;0.2;435.42;210.27
44;610;2021;10;30;0.5;0.8;0.8;0.2;435.51;89.833
71;610;2138;10;30;0.9;0.2;0.2;0.2;435.61;158.15
32;510;1624;10;30;0.9;0.8;0.8;1;435.62;218.15
42;610;2017;10;30;0.5;0.8;0.8;0.2;435.64;95.782
124;710;748;10;30;0.9;0.5;0.5;1;435.68;155.01
72;610;2139;10;30;0.5;0.5;0.5;0.2;435.7;91.22
157;710;919;10;30;0.5;0.5;0.5;1;435.93;88.437
139;710;831;10;30;0.9;0.2;0.2;1;435.97;163.97
20;510;1518;10;30;0.9;0.8;0.8;0.2;435.99;295.35
25;510;1545;10;30;0.9;0.8;0.8;0.2;435.99;158.81
146;710;847;10;30;0.5;0.8;0.8;1;436.08;88.283
4;510;1316;10;30;0.9;0.8;0.8;0.2;436.1;208.88
9;510;1334;10;30;0.9;0.8;0.8;0.2;436.1;209.55
5;510;1320;10;30;0.9;0.8;0.8;0.2;436.15;209.41
64;610;2118;10;30;0.9;0.2;0.2;0.2;436.15;160.42
67;610;2126;10;30;0.9;0.2;0.2;0.2;436.17;157.58
11;510;1341;10;30;0.9;0.8;0.8;0.2;436.21;210.29
30;510;1558;10;30;0.9;0.8;0.8;0.2;436.24;157.67
26;510;1548;10;30;0.9;0.8;0.8;0.2;436.3;157.24
21;510;1527;10;30;0.9;0.8;0.8;0.2;436.36;277.72
36;510;1638;10;30;0.9;0.8;0.8;1;436.36;211.78
140;710;834;10;30;0.9;0.2;0.2;1;436.64;159.88
66;610;2124;10;30;0.9;0.2;0.2;0.2;436.65;158.53
16;510;1437;10;30;0.9;0.8;0.8;0.2;436.7;295.13
24;510;1542;10;30;0.9;0.8;0.8;0.2;436.75;159.55
131;710;806;10;30;0.9;0.5;0.5;1;436.77;154.2
43;610;2019;10;30;0.5;0.8;0.8;0.2;436.86;90.68
117;610;2324;10;30;0.5;0.2;0.2;0.2;436.88;90.748
52;610;2042;10;30;0.9;0.5;0.5;0.2;436.9;187.82
33;510;1628;10;30;0.9;0.8;0.8;1;436.91;238.37
10;510;1338;10;30;0.9;0.8;0.8;0.2;436.96;210.12
69;610;2132;10;30;0.9;0.2;0.2;0.2;436.96;181.24
27;510;1550;10;30;0.9;0.8;0.8;0.2;436.97;157.24
78;610;2149;10;30;0.5;0.5;0.5;0.2;436.97;91.047
47;610;2025;10;30;0.5;0.8;0.8;0.2;437.06;89.895
68;610;2129;10;30;0.9;0.2;0.2;0.2;437.1;180.21
56;610;2054;10;30;0.9;0.5;0.5;0.2;437.17;204.88
132;710;811;10;30;0.9;0.2;0.2;1;437.3;197.35
46;610;2024;10;30;0.5;0.8;0.8;0.2;437.35;89.634
120;610;2329;10;30;0.5;0.2;0.2;0.2;437.35;90.82
74;610;2143;10;30;0.5;0.5;0.5;0.2;437.45;90.809
122;710;743;10;30;0.9;0.5;0.5;1;437.59;159.82
57;610;2058;10;30;0.9;0.5;0.5;0.2;437.61;201.17
40;510;1649;10;30;0.9;0.8;0.8;1;437.62;158.43
22;510;1537;10;30;0.9;0.8;0.8;0.2;437.63;159.03
154;710;915;10;30;0.5;0.5;0.5;1;437.63;90.696
166;710;935;10;30;0.5;0.2;0.2;1;437.65;92.984
19;510;1508;10;30;0.9;0.8;0.8;0.2;437.67;292.18
158;710;921;10;30;0.5;0.5;0.5;1;437.9;94.911
81;610;2153;10;30;0.5;0.5;0.5;0.2;437.92;90.737
133;710;814;10;30;0.9;0.2;0.2;1;437.95;192.13
8;510;1331;10;30;0.9;0.8;0.8;0.2;438.01;211.51
73;610;2141;10;30;0.5;0.5;0.5;0.2;438.03;91.279
116;610;2323;10;30;0.5;0.2;0.2;0.2;438.04;90.738
159;710;923;10;30;0.5;0.5;0.5;1;438.04;98.165
29;510;1556;10;30;0.9;0.8;0.8;0.2;438.14;157.56
35;510;1634;10;30;0.9;0.8;0.8;1;438.16;203.11
14;510;1417;10;30;0.9;0.8;0.8;0.2;438.29;271.21
77;610;2147;10;30;0.5;0.5;0.5;0.2;438.36;91.03
136;710;823;10;30;0.9;0.2;0.2;1;438.42;167.99
41;510;1652;10;30;0.9;0.8;0.8;1;438.44;159.11
38;510;1644;10;30;0.9;0.8;0.8;1;438.54;165.98
114;610;2320;10;30;0.5;0.2;0.2;0.2;438.62;91.422
75;610;2144;10;30;0.5;0.5;0.5;0.2;438.66;90.829
144;710;844;10;30;0.5;0.8;0.8;1;438.72;92.829
62;610;2113;10;30;0.9;0.2;0.2;0.2;438.77;160.31
162;710;928;10;30;0.5;0.2;0.2;1;438.78;89.969
65;610;2121;10;30;0.9;0.2;0.2;0.2;439.01;160.28
126;710;753;10;30;0.9;0.5;0.5;1;439.06;154.06
156;710;918;10;30;0.5;0.5;0.5;1;439.12;87.727
50;610;2030;10;30;0.5;0.8;0.8;0.2;439.21;89.446
160;710;924;10;30;0.5;0.5;0.5;1;439.22;109.7
53;610;2045;10;30;0.9;0.5;0.5;0.2;439.24;172.7
125;710;751;10;30;0.9;0.5;0.5;1;439.25;154.58
142;710;841;10;30;0.5;0.8;0.8;1;439.34;88.7
121;610;2331;10;30;0.5;0.2;0.2;0.2;439.46;90.923
169;710;939;10;30;0.5;0.2;0.2;1;439.51;88.645
123;710;745;10;30;0.9;0.5;0.5;1;439.61;154.17
129;710;801;10;30;0.9;0.5;0.5;1;439.67;154.35
149;710;851;10;30;0.5;0.8;0.8;1;439.69;91.054
151;710;855;10;30;0.5;0.8;0.8;1;439.7;95.688
28;510;1553;10;30;0.9;0.8;0.8;0.2;439.74;157.09
45;610;2022;10;30;0.5;0.8;0.8;0.2;439.77;89.93
80;610;2152;10;30;0.5;0.5;0.5;0.2;439.79;90.235
49;610;2028;10;30;0.5;0.8;0.8;0.2;439.93;89.934
138;710;829;10;30;0.9;0.2;0.2;1;440.15;168.54
167;710;936;10;30;0.5;0.2;0.2;1;440.22;86.991
118;610;2326;10;30;0.5;0.2;0.2;0.2;440.36;91.08
112;610;2317;10;30;0.5;0.2;0.2;0.2;440.66;91.473
34;510;1631;10;30;0.9;0.8;0.8;1;440.8;184.16
143;710;842;10;30;0.5;0.8;0.8;1;440.93;93.657
152;710;911;10;30;0.5;0.5;0.5;1;441.06;88.005
2;510;1257;10;30;0.9;0.8;0.8;0.2;441.17;227.42
164;710;931;10;30;0.5;0.2;0.2;1;441.45;88.353
161;710;926;10;30;0.5;0.5;0.5;1;441.55;90.251
130;710;804;10;30;0.9;0.5;0.5;1;441.81;153.95
150;710;853;10;30;0.5;0.8;0.8;1;442.00;96.638
171;710;942;10;30;0.5;0.2;0.2;1;442.13;99.526
113;610;2318;10;30;0.5;0.2;0.2;0.2;442.46;91.809
37;510;1641;10;30;0.9;0.8;0.8;1;442.57;160.81
51;610;2032;10;30;0.5;0.8;0.8;0.2;442.58;114.09
185;710;1045;10;30;0.2;0.5;0.5;1;456.82;45.485
176;710;1022;10;30;0.2;0.8;0.8;1;457.65;38.887
172;710;1019;10;30;0.2;0.8;0.8;1;461.49;40.21
200;710;1110;10;30;0.2;0.2;0.2;1;466.07;39.404
178;710;1023;10;30;0.2;0.8;0.8;1;467.46;41.183
198;710;1109;10;30;0.2;0.2;0.2;1;468.37;37.808
184;710;1044;10;30;0.2;0.5;0.5;1;468.41;46.214
83;610;2215;10;30;0.2;0.8;0.8;0.2;468.99;39.502
90;610;2220;10;30;0.2;0.8;0.8;0.2;469.61;39.453
95;610;2256;10;30;0.2;0.5;0.5;0.2;471.79;38.853
110;610;2307;10;30;0.2;0.2;0.2;0.2;474.03;38.593
103;610;2302;10;30;0.2;0.2;0.2;0.2;474.78;39.46
92;610;2254;10;30;0.2;0.5;0.5;0.2;475.9;39.841
174;710;1020;10;30;0.2;0.8;0.8;1;476.22;38.861
87;610;2218;10;30;0.2;0.8;0.8;0.2;476.7;39.21
85;610;2216;10;30;0.2;0.8;0.8;0.2;477.3;39.273
179;710;1024;10;30;0.2;0.8;0.8;1;477.32;38.236
93;610;2255;10;30;0.2;0.5;0.5;0.2;479.48;39.147
99;610;2259;10;30;0.2;0.5;0.5;0.2;480.32;38.547
94;610;2256;10;30;0.2;0.5;0.5;0.2;481.05;40.532
105;610;2304;10;30;0.2;0.2;0.2;0.2;483.00;39.55
88;610;2219;10;30;0.2;0.8;0.8;0.2;483.08;39.318
190;710;1049;10;30;0.2;0.5;0.5;1;483.87;38.609
173;710;1020;10;30;0.2;0.8;0.8;1;484.36;40.402
104;610;2303;10;30;0.2;0.2;0.2;0.2;484.53;38.802
180;710;1024;10;30;0.2;0.8;0.8;1;485.36;37.849
107;610;2305;10;30;0.2;0.2;0.2;0.2;485.43;38.898
86;610;2217;10;30;0.2;0.8;0.8;0.2;485.87;40.143
194;710;1106;10;30;0.2;0.2;0.2;1;486.16;40.64
196;710;1107;10;30;0.2;0.2;0.2;1;488.63;37.748
183;710;1044;10;30;0.2;0.5;0.5;1;488.67;47.845
199;710;1109;10;30;0.2;0.2;0.2;1;488.92;37.532
189;710;1048;10;30;0.2;0.5;0.5;1;488.97;38.64
111;610;2308;10;30;0.2;0.2;0.2;0.2;489.71;38.575
89;610;2219;10;30;0.2;0.8;0.8;0.2;492.07;39.236
100;610;2300;10;30;0.2;0.5;0.5;0.2;492.88;39.237
84;610;2216;10;30;0.2;0.8;0.8;0.2;493.31;39.403
101;610;2301;10;30;0.2;0.5;0.5;0.2;493.71;40.012
181;710;1025;10;30;0.2;0.8;0.8;1;496.42;37.649
98;610;2258;10;30;0.2;0.5;0.5;0.2;497.56;38.594
188;710;1047;10;30;0.2;0.5;0.5;1;498.42;38.492
97;610;2258;10;30;0.2;0.5;0.5;0.2;499.86;38.51
102;610;2302;10;30;0.2;0.2;0.2;0.2;499.87;43.152
195;710;1107;10;30;0.2;0.2;0.2;1;499.94;42.363
106;610;2304;10;30;0.2;0.2;0.2;0.2;500.87;39.41
109;610;2306;10;30;0.2;0.2;0.2;0.2;501.48;38.722
91;610;2221;10;30;0.2;0.8;0.8;0.2;501.64;39.296
108;610;2306;10;30;0.2;0.2;0.2;0.2;502.95;38.645
191;710;1050;10;30;0.2;0.5;0.5;1;504.3;38.85
187;710;1047;10;30;0.2;0.5;0.5;1;506.28;38.743
186;710;1046;10;30;0.2;0.5;0.5;1;506.59;38.7
82;610;2214;10;30;0.2;0.8;0.8;0.2;509.03;40.016
182;710;1043;10;30;0.2;0.5;0.5;1;510.61;40.615
96;610;2257;10;30;0.2;0.5;0.5;0.2;513.69;38.65
15;710;1111;10;30;0.2;0.2;0.2;1;515.18;39.645
197;710;1108;10;30;0.2;0.2;0.2;1;515.44;42.502
177;710;1022;10;30;0.2;0.8;0.8;1;516.48;40.736
193;710;1105;10;30;0.2;0.2;0.2;1;516.56;43.983
192;710;1104;10;30;0.2;0.2;0.2;1;523.63;40.946
175;710;1021;10;30;0.2;0.8;0.8;1;524.91;38.84